location_id,date,year,microalgae,density,classification,temperature (°C),depth (m),currents (Sv),salinity (ups),wind (m/s)
36,2020-01-17,2023,Akashiwo sanguínea,7674.294831744616,0,28.999427120778847,43.058407612171436,1.9453467570492238,32.552337067316714,9.71519039079795
40,2023-12-03,2022,Akashiwo sanguínea,126771.77523771787,3,22.170294718408343,45.37617504073391,0.8129777654909283,37.34727733801417,2.2551124963229663
20,2021-03-13,2020,Akashiwo sanguínea,107930.95317845955,3,14.946102945095156,13.65745651755561,0.9104064219091448,37.48883999910152,1.3415079247427286
20,2021-01-19,2020,Akashiwo sanguínea,72559.9426628146,1,22.255254299686552,21.996148511451207,0.374410811241791,37.3865691116578,7.072020049555521
19,2021-03-18,2021,Akashiwo sanguínea,29665.687589199624,0,18.02488564507462,4.779045247872271,0.86194549435779,39.52053130928118,4.010620012582202
38,2021-08-29,2023,Akashiwo sanguínea,3915.6541212831576,0,22.31502253475069,9.604521758764095,1.8548851063431195,35.59056007712285,10.049064366688851
22,2023-08-22,2023,Akashiwo sanguínea,109111.70902589713,3,24.07739911246221,37.49160646962976,0.1934456530378279,31.233335332765773,0.8587194085640437
4,2020-01-27,2021,Akashiwo sanguínea,145627.22518013444,3,15.631157882945013,60.683684431974505,1.1798779180425718,30.094404845287023,0.8934856040970773
31,2021-09-16,2021,Akashiwo sanguínea,28107.861682205556,0,25.3369546874966,40.66622888156729,0.49693878479004794,37.290924376441914,17.110669399305525
26,2020-05-18,2023,Akashiwo sanguínea,104327.76656415657,3,18.29136653491061,25.663920533294615,0.35304257434182795,34.571182696467766,0.9258585979975242
47,2023-08-23,2022,Akashiwo sanguínea,83867.6708122154,2,16.959261156202622,41.948164319445446,0.13418168128130592,32.36642554740359,12.642654780694738
21,2020-09-10,2023,Akashiwo sanguínea,111768.92613418766,3,10.26859375568807,12.371808081222968,0.7985492220956953,34.930282391169065,6.9473026952084265
22,2023-02-27,2021,Akashiwo sanguínea,36935.79705620733,1,28.623000164021494,59.33314093402517,0.026005639625658494,36.1710372093868,6.503266630893519
2,2020-08-29,2020,Akashiwo sanguínea,75643.23015720547,1,10.93585119137624,34.08924285223938,1.4552845041410545,34.55390564959644,17.01435216918822
24,2023-06-28,2020,Akashiwo sanguínea,3997.3982194346004,0,10.593653480612996,35.99424780384687,0.889803996463655,36.381018167331675,0.07327496017009771
31,2021-01-18,2020,Akashiwo sanguínea,83248.94947239364,2,10.45863402907517,85.07763795426789,1.8999037613409893,30.948494040043183,18.814001461649227
50,2023-10-23,2020,Akashiwo sanguínea,12485.425534670541,0,26.863614081192576,37.16583162842396,0.3659820959240616,33.37109924204348,12.441070447164929
23,2021-04-08,2020,Akashiwo sanguínea,102208.46317321634,3,21.41144188569981,80.0386444125074,1.3481644095076302,35.45082906382757,3.1888837516631563
31,2022-06-02,2022,Akashiwo sanguínea,2229.335436949681,0,15.954848650714029,26.300852567273616,1.942241733511232,37.257537718999366,1.0901238604710906
